,Sentence #,Word,Tag
0,1,judging,O
1,1,from,O
2,1,previous,O
3,1,posts,O
4,1,this,O
5,1,used,O
6,1,to,O
7,1,be,O
8,1,a,B
9,1,good,O
10,1,place,B
11,1,but,O
12,1,not,O
13,1,any,O
14,1,longer,O
15,2,we,O
16,2,there,O
17,2,were,O
18,2,four,O
19,2,of,O
20,2,us,O
21,2,arrived,O
22,2,at,O
23,2,noon,O
24,2,the,O
25,2,place,O
26,2,was,O
27,2,empty,O
28,2,and,O
29,2,the,O
30,2,staff,B
31,2,acted,O
32,2,like,O
33,2,we,O
34,2,were,O
35,2,imposing,O
36,2,on,O
37,2,them,O
38,2,and,O
39,2,they,O
40,2,were,O
41,2,very,O
42,2,rude,O
43,3,they,O
44,3,never,O
45,3,brought,O
46,3,us,O
47,3,complimentary,O
48,3,noodles,O
49,3,ignored,O
50,3,repeated,O
51,3,requests,O
52,3,for,O
53,3,sugar,O
54,3,and,O
55,3,threw,O
56,3,our,O
57,3,dishes,O
58,3,on,O
59,3,the,O
60,3,table,O
61,4,the,O
62,4,food,I
63,4,was,O
64,4,lousy,O
65,4,too,O
66,4,sweet,O
67,4,or,B
68,4,too,O
69,4,salty,O
70,4,and,O
71,4,the,O
72,4,portions,B
73,4,tiny,O
74,5,after,O
75,5,all,O
76,5,that,O
77,5,they,O
78,5,complained,O
79,5,to,O
80,5,me,O
81,5,about,O
82,5,the,O
83,5,small,O
84,5,tip,O
85,6,avoid,O
86,6,this,O
87,6,place,B
88,7,i,O
89,7,have,O
90,7,eaten,O
91,7,at,O
92,7,saul,O
93,7,many,O
94,7,times,O
95,7,the,O
96,7,food,B
97,7,is,O
98,7,always,O
99,7,consistently,O
100,7,outrageously,O
101,7,good,O
102,8,saul,B
103,8,is,O
104,8,the,O
105,8,best,O
106,8,restaurant,O
107,8,on,O
108,8,smith,O
109,8,street,O
110,8,and,O
111,8,in,O
112,8,brooklyn,O
113,9,the,O
114,9,duck,I
115,9,confit,I
116,9,is,O
117,9,always,O
118,9,amazing,O
119,9,and,O
120,9,the,O
121,9,foie,B
122,9,gras,I
123,9,terrine,I
124,9,with,I
125,9,figs,I
126,9,was,O
127,9,out,O
128,9,of,O
129,9,this,O
130,9,world,O
131,10,the,O
132,10,wine,I
133,10,list,I
134,10,is,I
135,10,interesting,O
136,10,and,O
137,10,has,O
138,10,many,O
139,10,good,O
140,10,values,O
141,11,for,O
142,11,the,O
143,11,price,O
144,11,you,O
145,11,cannot,O
146,11,eat,O
147,11,this,O
148,11,well,O
149,11,in,O
150,11,manhattan,O
151,12,i,O
152,12,was,O
153,12,very,O
154,12,disappointed,O
155,12,with,O
156,12,this,O
157,12,restaurant,B
158,13,ive,O
159,13,asked,O
160,13,a,B
161,13,cart,I
162,13,attendant,I
163,13,for,O
164,13,a,O
165,13,lotus,O
166,13,leaf,O
167,13,wrapped,O
168,13,rice,O
169,13,and,O
170,13,she,O
171,13,replied,O
172,13,back,O
173,13,rice,O
174,13,and,O
175,13,just,O
176,13,walked,O
177,13,away,O
178,14,i,O
179,14,had,O
180,14,to,O
181,14,ask,O
182,14,her,O
183,14,three,O
184,14,times,O
185,14,before,O
186,14,she,O
187,14,finally,O
188,14,came,O
189,14,back,O
190,14,with,O
191,14,the,O
192,14,dish,O
193,14,ive,O
194,14,requested,O
195,15,food,B
196,15,was,O
197,15,okay,O
198,15,nothing,O
199,15,great,O
200,16,chow,B
201,16,fun,I
202,16,was,O
203,16,dry,O
204,16,pork,B
205,16,shu,I
206,16,mai,I
207,16,was,O
208,16,more,O
209,16,than,O
210,16,usually,O
211,16,greasy,O
212,16,and,O
213,16,had,O
214,16,to,O
215,16,share,O
216,16,a,B
217,16,table,O
218,16,with,O
219,16,loud,O
220,16,and,O
221,16,rude,O
222,16,family,O
223,17,iwe,O
224,17,will,O
225,17,never,O
226,17,go,O
227,17,back,O
228,17,to,O
229,17,this,O
230,17,place,B
231,17,again,O
232,18,went,O
233,18,on,O
234,18,a,O
235,18,3,O
236,18,day,O
237,18,oyster,O
238,18,binge,O
239,18,with,O
240,18,fish,B
241,18,bringing,O
242,18,up,O
243,18,the,O
244,18,closing,O
245,18,and,O
246,18,i,B
247,18,am,O
248,18,so,O
249,18,glad,O
250,18,this,O
251,18,was,O
252,18,the,O
253,18,place,O
254,18,it,O
255,18,o,O
256,18,trip,O
257,18,ended,O
258,18,because,O
259,18,it,O
260,18,was,O
261,18,so,O
262,18,great,O
263,19,service,B
264,19,was,O
265,19,devine,O
266,19,oysters,B
267,19,where,O
